threshold,dollars_per_shift,tp,fp,tn,fn
0.000,17677.89,728,235915,0,0
0.001,17677.89,728,235915,0,0
0.002,17677.89,728,235915,0,0
0.003,17677.89,728,235915,0,0
0.004,17662.50,728,235705,210,0
0.005,17578.50,727,234281,1634,1
0.006,17081.80,702,220571,15344,26
0.007,15494.37,568,161760,74155,160
0.008,13462.70,401,87738,148177,327
0.009,12881.49,291,49316,186599,437
0.010,12708.14,236,31706,204209,492
0.011,12625.44,204,21708,214207,524
0.012,12641.07,182,15824,220091,546
0.013,12514.37,174,11877,224038,554
0.014,12572.96,162,9351,226564,566
0.015,12485.07,161,7874,228041,567
0.016,12456.38,159,6928,228987,569
0.017,12489.39,155,6270,229645,573
0.018,12452.25,155,5763,230152,573
0.019,12479.02,152,5297,230618,576
0.020,12487.40,150,4857,231058,578
0.021,12455.97,150,4428,231487,578
0.022,12427.85,150,4044,231871,578
0.023,12404.48,150,3725,232190,578
0.024,12384.19,150,3448,232467,578
0.025,12367.12,150,3215,232700,578
0.026,12373.36,149,3023,232892,579
0.027,12360.76,149,2851,233064,579
0.028,12371.25,148,2717,233198,580
0.029,12382.98,147,2600,233315,581
0.030,12393.54,146,2467,233448,582
0.031,12384.82,146,2348,233567,582
0.032,12418.39,144,2252,233663,584
0.033,12452.47,142,2163,233752,586
0.034,12446.83,142,2086,233829,586
0.035,12461.05,141,2003,233912,587
0.036,12455.12,141,1922,233993,587
0.037,12450.95,141,1865,234050,587
0.038,12447.65,141,1820,234095,587
0.039,12444.21,141,1773,234142,587
0.040,12440.47,141,1722,234193,587
0.041,12437.25,141,1678,234237,587
0.042,12454.91,140,1642,234273,588
0.043,12452.20,140,1605,234310,588
0.044,12449.93,140,1574,234341,588
0.045,12447.37,140,1539,234376,588
0.046,12466.06,139,1517,234398,589
0.047,12463.64,139,1484,234431,589
0.048,12461.44,139,1454,234461,589
0.049,12459.98,139,1434,234481,589
0.050,12458.00,139,1407,234508,589
0.051,12456.83,139,1391,234524,589
0.052,12495.97,137,1371,234544,591
0.053,12494.06,137,1345,234570,591
0.054,12492.01,137,1317,234598,591
0.055,12490.54,137,1297,234618,591
0.056,12488.57,137,1270,234645,591
0.057,12487.69,137,1258,234657,591
0.058,12486.15,137,1237,234678,591
0.059,12484.69,137,1217,234698,591
0.060,12482.71,137,1190,234725,591
0.061,12481.90,137,1179,234736,591
0.062,12501.40,136,1168,234747,592
0.063,12500.08,136,1150,234765,592
0.064,12518.55,135,1125,234790,593
0.065,12516.28,135,1094,234821,593
0.066,12515.11,135,1078,234837,593
0.067,12514.01,135,1063,234852,593
0.068,12512.10,135,1037,234878,593
0.069,12511.15,135,1024,234891,593
0.070,12509.90,135,1007,234908,593
0.071,12508.44,135,987,234928,593
0.072,12507.41,135,973,234942,593
0.073,12526.91,134,962,234953,594
0.074,12525.30,134,940,234975,594
0.075,12524.13,134,924,234991,594
0.076,12523.25,134,912,235003,594
0.077,12522.81,134,906,235009,594
0.078,12521.86,134,893,235022,594
0.079,12520.83,134,879,235036,594
0.080,12519.73,134,864,235051,594
0.081,12518.78,134,851,235064,594
0.082,12537.98,133,836,235079,595
0.083,12536.88,133,821,235094,595
0.084,12535.86,133,807,235108,595
0.085,12534.68,133,791,235124,595
0.086,12553.96,132,777,235138,596
0.087,12553.15,132,766,235149,596
0.088,12551.98,132,750,235165,596
0.089,12550.44,132,729,235186,596
0.090,12549.20,132,712,235203,596
0.091,12547.29,132,686,235229,596
0.092,12546.12,132,670,235245,596
0.093,12565.25,131,654,235261,597
0.094,12584.09,130,634,235281,598
0.095,12623.22,128,614,235301,600
0.096,12621.46,128,590,235325,600
0.097,12620.37,128,575,235340,600
0.098,12619.27,128,560,235355,600
0.099,12638.62,127,547,235368,601
0.100,12637.81,127,536,235379,601
0.101,12636.93,127,524,235391,601
0.102,12655.91,126,506,235409,602
0.103,12675.19,125,492,235423,603
0.104,12714.98,123,481,235434,605
0.105,12714.32,123,472,235443,605
0.106,12713.74,123,464,235451,605
0.107,12712.71,123,450,235465,605
0.108,12732.06,122,437,235478,606
0.109,12731.04,122,423,235492,606
0.110,12730.16,122,411,235504,606
0.111,12729.57,122,403,235512,606
0.112,12729.13,122,397,235518,606
0.113,12728.62,122,390,235525,606
0.114,12748.48,121,384,235531,607
0.115,12748.04,121,378,235537,607
0.116,12747.67,121,373,235542,607
0.117,12747.16,121,366,235549,607
0.118,12746.80,121,361,235554,607
0.119,12746.36,121,355,235560,607
0.120,12746.06,121,351,235564,607
0.121,12745.77,121,347,235568,607
0.122,12745.48,121,343,235572,607
0.123,12765.56,120,340,235575,608
0.124,12785.49,119,335,235580,609
0.125,12785.05,119,329,235586,609
0.126,12784.69,119,324,235591,609
0.127,12825.21,117,323,235592,611
0.128,12824.92,117,319,235596,611
0.129,12865.30,115,316,235599,613
0.130,12865.23,115,315,235600,613
0.131,12865.01,115,312,235603,613
0.132,12864.94,115,311,235604,613
0.133,12864.64,115,307,235608,613
0.134,12864.20,115,301,235614,613
0.135,12863.77,115,295,235620,613
0.136,12863.25,115,288,235627,613
0.137,12862.96,115,284,235631,613
0.138,12862.74,115,281,235634,613
0.139,12882.67,114,276,235639,614
0.140,12902.83,113,274,235641,615
0.141,12902.61,113,271,235644,615
0.142,12902.39,113,268,235647,615
0.143,12902.17,113,265,235650,615
0.144,12901.95,113,262,235653,615
0.145,12901.66,113,258,235657,615
0.146,12901.51,113,256,235659,615
0.147,12901.22,113,252,235663,615
0.148,12900.92,113,248,235667,615
0.149,12900.70,113,245,235670,615
0.150,12900.41,113,241,235674,615
0.151,12920.49,112,238,235677,616
0.152,12920.27,112,235,235680,616
0.153,12920.13,112,233,235682,616
0.154,12960.65,110,232,235683,618
0.155,12960.58,110,231,235684,618
0.156,12980.73,109,229,235686,619
0.157,12980.59,109,227,235688,619
0.158,12980.30,109,223,235692,619
0.159,12980.00,109,219,235696,619
0.160,13040.68,106,216,235699,622
0.161,13060.69,105,212,235703,623
